"ORDER_ID","ORDER_DATE","ORDER_MODE","CUSTOMER_ID","ORDER_STATUS","ORDER_TOTAL","SALES_REP_ID","PROMOTION_ID"
2416,"29-MAR-2007 10:41:20.945676000","direct",104,6,384,160,
2417,"20-MAR-2007 11:49:10.974352000","direct",105,5,1926.6,163,
2418,"20-MAR-2004 11:18:21.862632000","direct",106,4,5546.6,163,
2419,"20-MAR-2007 13:03:32.764632000","direct",107,3,31574,160,
2420,"13-MAR-2007 14:59:43.666320000","direct",108,2,29750,160,
2421,"12-MAR-2007 15:53:54.562432000","direct",109,1,72836,,
2422,"16-DEC-2007 15:19:55.462332000","direct",144,2,11188.5,153,
2423,"21-NOV-2007 05:22:33.362632000","direct",145,3,10367.7,160,
2424,"21-NOV-2007 05:22:33.263332000","direct",146,4,13824,153,
2425,"16-NOV-2006 18:34:22.162552000","direct",147,5,1500.8,163,
2426,"16-NOV-2006 19:22:11.262552000","direct",148,6,7200,,
2427,"09-NOV-2007 20:34:22.362124000","direct",149,7,9055,163,
2428,"09-NOV-2007 21:41:34.463567000","direct",116,8,14685.8,,
2429,"09-NOV-2007 22:49:25.526321000","direct",117,9,50125,154,
2430,"02-OCT-2007 00:18:36.663332000","direct",101,8,29669.9,159,
2431,"14-SEP-2006 01:03:04.763452000","direct",102,1,5610.6,163,
2432,"14-SEP-2007 03:53:40.223345000","direct",102,10,10523,163,
2433,"13-SEP-2007 04:19:00.654279000","direct",103,10,78,163,
2434,"12-SEP-2007 23:49:30.647893000","direct",149,8,268651.8,161,
2435,"02-SEP-2007 17:22:53.134567000","direct",144,6,62303,159,
2436,"02-SEP-2007 00:18:04.378034000","direct",116,8,6394.8,161,
2437,"01-SEP-2006 02:59:15.826132000","direct",103,4,13550,163,
2438,"01-SEP-2007 03:53:26.934626000","direct",104,0,5451,154,
2439,"31-AUG-2007 04:19:37.811132000","direct",105,1,22150.1,159,
2440,"31-AUG-2007 15:53:06.008765000","direct",107,3,70576.9,156,
2441,"01-AUG-2008 05:22:48.734526000","direct",106,5,2075.2,160,
2442,"27-JUL-2006 06:22:59.662632000","direct",107,9,52471.9,154,
2443,"27-JUL-2006 07:34:16.562632000","direct",108,0,3646,154,
2444,"27-JUL-2007 08:22:27.462632000","direct",109,1,77727.2,155,
2445,"27-JUL-2006 09:34:38.362632000","direct",144,8,5537.8,158,
2446,"27-JUL-2007 01:03:08.302945000","direct",117,8,103679.3,161,
2447,"27-JUL-2008 02:59:10.223344000","direct",101,8,33893.6,161,
2448,"18-JUN-2007 10:41:49.262632000","direct",145,5,1388,158,
2449,"13-JUN-2007 11:49:07.162632000","direct",146,6,86,155,
2450,"11-APR-2007 12:18:10.362632000","direct",147,3,1636,159,
2451,"17-DEC-2007 12:03:52.562632000","direct",148,7,10474.6,154,
2452,"06-OCT-2007 14:59:43.462632000","direct",149,5,12589,159,
2453,"04-OCT-2007 15:53:34.362632000","direct",116,0,129,153,
2454,"02-OCT-2007 11:49:34.678340000","direct",103,1,6653.4,154,
2455,"20-SEP-2007 05:34:11.456789000","direct",145,7,14087.5,160,
2456,"07-NOV-2006 14:53:25.989889000","direct",117,0,3878.4,163,
2457,"31-OCT-2007 17:22:16.162632000","direct",118,5,21586.2,159,
2458,"16-AUG-2007 09:34:12.234359000","direct",101,0,78279.6,153,
